,门店ID,体检分,有效订单数,入店人数,平均商家评分,平均配送评分,平均配送评分
247,5300045,92.0,3,26,4.8,5.0,5.0
248,5300233,82.0,0,0,0.0,0.0,0.0
249,5300238,79.0,1,13,0.0,0.0,0.0
250,5311642,83.0,0,25,5.0,5.0,5.0
251,5311643,57.0,0,0,0.0,0.0,0.0
252,5311644,87.0,1,4,0.0,0.0,0.0
253,5311648,86.0,0,2,0.0,0.0,0.0
254,5311649,87.0,0,8,5.0,5.0,5.0
255,5311651,84.0,1,10,0.0,0.0,0.0
256,5311652,80.0,0,1,0.0,0.0,0.0
257,5311653,91.0,7,26,5.0,5.0,5.0
258,5311654,52.0,0,0,0.0,0.0,0.0
259,5311656,67.0,0,0,0.0,0.0,0.0
260,5311657,86.0,2,13,5.0,4.2,4.2
261,5312166,66.0,0,1,0.0,0.0,0.0
262,5312249,90.0,3,15,5.0,5.0,5.0
263,5312252,94.0,8,47,4.9,5.0,5.0
264,5312253,50.0,0,0,0.0,0.0,0.0
265,5332324,65.0,0,2,0.0,0.0,0.0
266,5332325,61.0,0,0,0.0,0.0,0.0
267,5332326,77.0,1,3,5.0,0.0,0.0
268,5332327,67.0,0,2,0.0,0.0,0.0
269,5332331,83.0,0,3,5.0,5.0,5.0
270,5332334,92.0,4,45,4.7,4.6,4.6
271,5332335,50.0,0,0,0.0,0.0,0.0
272,5332336,63.0,0,1,0.0,0.0,0.0
273,5332338,82.0,0,2,0.0,0.0,0.0
274,5332339,85.0,0,1,0.0,0.0,0.0
275,5332340,80.0,0,3,0.0,0.0,0.0
276,5332341,76.0,0,2,0.0,0.0,0.0
277,5332342,86.0,1,7,0.0,0.0,0.0
278,5332343,54.0,0,0,0.0,0.0,0.0
279,5332344,83.0,0,2,0.0,0.0,0.0
280,5332345,76.0,2,4,0.0,0.0,0.0
281,5332348,85.0,1,8,0.0,0.0,0.0
282,5332349,74.0,0,9,0.0,0.0,0.0
