,time,商家ID,商家名称,r,f,m,r_score,f_score,m_score,rfm_group
64,20200601,9338771,玫瑰之约（艾尚花语鲜花店）,12.1,3,268,1,2,3,123
65,20200601,9338794,喜乐四季花卉,15.2,0,0,3,1,1,311
66,20200601,9339174,清香园鲜花,13.8,0,0,2,1,1,211
67,20200601,9339176,绿之园花卉,12.8,3,246,1,2,2,122
68,20200601,9339177,阳光鲜花,9.3,0,0,1,1,1,111
69,20200601,9342535,晶晶花艺,12.3,1,0,1,1,1,111
70,20200601,9344175,爱神鲜花批发,10.7,3,64,1,2,2,122
71,20200601,9345839,花戒鲜花,11.3,6,575,1,3,3,133
72,20200601,9349868,花世界迷尔鲜花店,22.6,9,593,3,3,3,333
73,20200601,9350030,北植花屿,14.4,0,0,2,1,1,211
74,20200601,9352076,花仙子（花店）,14.4,7,533,2,3,3,233
75,20200601,9352424,尚品花坊（艾尚花语鲜花店）,14.8,0,0,3,1,1,311
76,20200601,9355273,花香时刻鲜花店,18.7,1,93,3,1,2,312
77,20200601,9360432,大自然花艺（艾尚花语鲜花店）,11.8,0,0,1,1,1,111
78,20200601,9364821,郁花缘鲜花,11.7,0,0,1,1,1,111
79,20200601,9364823,花颜花艺生活馆,11.9,1,194,1,1,2,112
80,20200601,9366091,海霞花艺,14.7,3,299,2,2,3,223
81,20200601,9366382,集美花艺,14.7,0,0,2,1,1,211
82,20200601,9370711,夏沫鲜花（文峰路店）,13.3,6,445,1,3,3,133
83,20200601,9371509,慧媛花艺,13.4,0,0,1,1,1,111
84,20200601,9382867,维罗纳花坊,12.5,3,254,1,2,3,123
85,20200601,9385039,惜缘花业,1.5,1,0,1,1,1,111
86,20200601,9385040,鲜花绿植,14.7,0,0,2,1,1,211
87,20200601,9385041,拾贰花艺,12.7,1,99,1,1,2,112
88,20200601,9385042,石上花坊批发,7.6,0,0,1,1,1,111
89,20200601,9385115,千千惠鲜花,13.6,0,0,1,1,1,111
90,20200601,9385117,尚品鲜花,10.7,0,0,1,1,1,111
91,20200601,9385118,四季花艺,11.8,0,0,1,1,1,111
92,20200601,9385213,娜娜花屋,14.8,2,133,3,2,2,322
93,20200601,9385384,简单花艺,8.1,0,0,1,1,1,111
94,20200601,9385911,阁禹,7.1,0,0,1,1,1,111
95,20200601,9387883,花开半夏,13.7,0,0,2,1,1,211
96,20200601,9394079,花言草语,13.8,2,228,2,2,2,222
97,20200601,9394266,花仙谷鲜花店,13.3,1,64,1,1,2,112
98,20200601,9402143,亿米阳光,13.6,0,0,1,1,1,111
99,20200601,9402187,百卉鲜花婚庆,14.7,0,0,2,1,1,211
100,20200601,9402588,爱使鲜花,10.2,0,0,1,1,1,111
