,供应商ID,供应商名,城市名,门店ID,门店名称,总成交额(元),预计收入(元),有效订单,笔单价(元),顾客实付金额(元),顾客实付笔单价(元),总支出(元),商家补贴(元),商家补贴力度,流失订单,流失订单预计损失(元),用户原因流失订单,配送原因流失订单数,商家原因流失订单数,其他原因流失订单数,商品金额,包装费,配送费,开始日,结束日
59,22267202676,花非花科技（原邂逅花坊）,南京,169732213,邂逅花坊（平价花卉文峰路店）,352.0,155.7,2,176.0,173.0,86.5,196.3,179.0,0.51,0,0.0,0,0,0,0,352.0,0,0.0,20201112,20201211
185,22267202676,花非花科技（原邂逅花坊）,合肥,166924835,邂逅花坊（光明苑小区店）,162.1,133.29,2,81.05,147.1,73.55,28.81,14.0,0.09,0,0.0,0,0,0,0,157.1,0,5.0,20201112,20201211
184,22267202676,花非花科技（原邂逅花坊）,丹东,2036845298,邂逅花坊（幸福婚庆邓铁梅路店）,286.0,162.9,2,143.0,176.0,88.0,123.1,105.0,0.37,0,0.0,0,0,0,0,286.0,0,0.0,20201112,20201211
182,22267202676,花非花科技（原邂逅花坊）,成都,335716055,邂逅花坊（玖月花艺学府路店）,145.0,130.5,2,72.5,140.0,70.0,14.5,0.0,0.0,0,0.0,0,0,0,0,145.0,0,0.0,20201112,20201211
1016,22267202676,花非花科技（原邂逅花坊）,吴忠,300702345,邂逅花坊（花语坊鲜花古城路店）,295.8,130.41,2,147.9,144.9,72.45,165.39,150.9,0.51,0,0.0,0,0,0,0,295.8,0,0.0,20201112,20201211
692,22267202676,花非花科技（原邂逅花坊）,桂林,336692531,邂逅花坊（雅致花店灵川县店）,332.0,180.9,2,166.0,201.0,100.5,151.1,131.0,0.39,0,0.0,0,0,0,0,332.0,0,0.0,20201112,20201211
29,22267202676,花非花科技（原邂逅花坊）,长春,166924765,邂逅花坊（女主角花坊团结街店）,432.0,183.6,2,216.0,199.5,99.75,248.4,228.0,0.53,0,0.0,0,0,0,0,432.0,0,0.0,20201112,20201211
767,22267202676,花非花科技（原邂逅花坊）,青岛,167744330,邂逅花坊（幸福花缘店）,286.0,150.3,2,143.0,164.5,82.25,135.7,119.0,0.42,0,0.0,0,0,0,0,286.0,0,0.0,20201112,20201211
710,22267202676,花非花科技（原邂逅花坊）,嘉兴,2042569175,真爱花艺（青云路店）,304.0,186.3,2,152.0,203.0,101.5,117.7,97.0,0.32,0,0.0,0,0,0,0,304.0,0,0.0,20201112,20201211
1041,22267202676,花非花科技（原邂逅花坊）,盐城,2042579215,花颜花艺生活馆（东台市店）,384.0,214.2,2,192.0,230.7,115.35,169.8,146.0,0.38,1,71.0,0,0,1,0,384.0,0,0.0,20201112,20201211
206,22267202676,花非花科技（原邂逅花坊）,鞍山,170245898,邂逅花坊（百迎花时方中街店）,285.9,125.91,2,142.95,121.9,60.95,159.99,146.0,0.51,1,88.0,1,0,0,0,285.9,0,0.0,20201112,20201211
1039,22267202676,花非花科技（原邂逅花坊）,厦门,2043512841,花艺学院（思明区店）,297.0,162.9,2,148.5,178.0,89.0,134.1,116.0,0.39,0,0.0,0,0,0,0,297.0,0,0.0,20201112,20201211
720,22267202676,花非花科技（原邂逅花坊）,杭州,171029570,邂逅花坊（浪漫花屋桂花西路店）,328.0,144.9,2,164.0,161.0,80.5,183.1,167.0,0.51,0,0.0,0,0,0,0,328.0,0,0.0,20201112,20201211
211,22267202676,花非花科技（原邂逅花坊）,西安,335794217,邂逅花坊（红枫叶鲜花未央区店）,392.0,171.0,2,196.0,188.0,94.0,221.0,202.0,0.52,0,0.0,0,0,0,0,392.0,0,0.0,20201112,20201211
201,22267202676,花非花科技（原邂逅花坊）,合肥,304982546,邂逅花坊（花落谁家蒙城北路店）,318.0,270.0,2,159.0,293.8,146.9,48.0,18.0,0.06,0,0.0,0,0,0,0,318.0,0,0.0,20201112,20201211
706,22267202676,花非花科技（原邂逅花坊）,南平,169732216,邂逅花坊（才枝花屋滨江北路店）,365.0,154.8,2,182.5,169.5,84.75,210.2,193.0,0.53,0,0.0,0,0,0,0,352.0,0,13.0,20201112,20201211
785,22267202676,花非花科技（原邂逅花坊）,贵阳,336849751,邂逅花坊（艺愿花汇红枫路店）,332.0,135.9,2,166.0,146.0,73.0,196.1,181.0,0.55,1,76.5,0,0,1,0,332.0,0,0.0,20201112,20201211
54,22267202676,花非花科技（原邂逅花坊）,广安,304912650,邂逅花坊（花之语专业鲜花婚庆城墙街店）,514.0,223.2,2,257.0,245.5,122.75,290.8,266.0,0.52,0,0.0,0,0,0,0,514.0,0,0.0,20201112,20201211
743,22267202676,花非花科技（原邂逅花坊）,南京,500979483,邂逅花坊（花点时间葛塘街道店）,554.0,371.7,2,277.0,410.0,205.0,182.3,141.0,0.25,0,0.0,0,0,0,0,554.0,0,0.0,20201112,20201211
