,开始日期,结束日期,商家ID,商家名称,运营组,省份,城市,是否新增商家,首次上线日期,门店在线状态,（日均）预设营业时长（h）,（日均）在线营业时长（h）,曝光人数,入店人数,下单人数,下单新客人数,入店转化率,下单转化率,推单数,有效订单数,原价交易额,实付交易额,商家补贴金额,商家原因取消订单数,商家拒单数,商家超时未接单数,商家取消不告知用户订单数,缺货导致退款订单数,商家少送错送导致用户退款订单数,商家质量问题导致用户退款订单数,配送原因取消订单数,拣货超时订单数,使用间或完成按钮订单数,平均骑手到店等待时间（min）,平均骑手送货时长（min）,IM会话数,IM回复数,IM回复率,IM1分钟回复数,差评订单数,投诉订单数,平均商家评分,平均商品评分,平均配送评分,平均配送时长（min）,资质类型（仅药品）,资质有效期（仅药品）,cluster
46,20200101,20200131,4192177,花生活鲜花（国色天香鲜花店）,鲜花组,贵州省,遵义,否,20180103,在线,24.0,24.0,11224,30,0,0,0.27,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,,0
47,20200101,20200131,4279933,花生活鲜花（露艺花坊）,鲜花组,江苏省,无锡,否,20180117,下线,0.0,0.0,7,1,0,0,14.29,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,,2
48,20200101,20200131,4304946,花生活鲜花（城市花坊）,鲜花组,四川省,泸州,否,20180124,在线,24.0,24.0,16416,201,11,11,1.22,5.47,11,11,3119.0,1216.01,2292.99,0,0,0,0,0,0,0,0,0,11,0,0,6,6,100.0,2,0,0,3.1,3.1,3.1,0.0,,,1
49,20200101,20200131,4363389,花生活鲜花（意达鲜花店）,鲜花组,河北省,唐山,否,20180201,在线,24.0,23.0,12297,320,8,5,2.6,2.5,6,5,1047.0,785.0,457.0,0,0,0,0,0,0,0,0,0,5,0,0,4,4,100.0,4,0,0,0.0,0.0,0.0,0.0,,,0
50,20200101,20200131,4389748,花生活鲜花（玫瑰花店2店）,鲜花组,广东省,东莞,否,20180211,在线,18.0,18.4,7278,104,5,3,1.43,4.81,5,3,841.0,392.0,566.0,0,0,0,0,0,0,0,0,2,4,0,0,2,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,,0
51,20200101,20200131,4434657,花生活鲜花（晴曦花艺）,鲜花组,福建省,福州,否,20180304,在线,18.0,18.3,7821,163,4,0,2.08,2.45,2,0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,,0
52,20200101,20200131,4439411,花生活鲜花（花田故事）,鲜花组,福建省,福州,否,20180308,在线,19.0,19.1,3495,57,1,0,1.63,1.75,3,0,0.0,0.0,0.0,3,1,2,0,0,0,0,0,0,0,0,0,1,1,100.0,1,0,0,0.0,0.0,0.0,0.0,,,2
53,20200101,20200131,4464626,花生活鲜花（雪莲花艺）,鲜花组,北京市,北京,否,20180422,在线,15.0,15.1,2683,65,4,1,2.42,6.15,4,2,381.0,173.0,286.0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,,2
54,20200101,20200131,4473272,花生活鲜花（祥瑞花艺坊）,鲜花组,天津市,天津,否,20180321,在线,17.0,17.5,4144,78,1,1,1.88,1.28,1,1,680.0,269.0,450.0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,,2
55,20200101,20200131,4742557,花生活鲜花（陌上花开株洲店）,鲜花组,湖南省,株洲,否,20180413,在线,24.0,24.0,17470,167,1,1,0.96,0.6,1,1,258.0,205.0,92.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,,1
