,Unnamed: 0,Unnamed: 0.1,poi_id,门店名,品牌ID,品牌名,省份,城市,城市等级,蜂窝,一级品类,二级品类,是否营业,首次上线时间,配送方式,提单数,推单数,接单数,订单数,原价交易额,实付交易额,原价客单价,实付客单价,非异订单数,商家配送延迟订单数,商家拒单订单数,商家不接单订单数,商家取消不告知订单数,商家少餐错餐订单数,商家经营状态异常订单数,商家违规投诉订单数,美团配送延迟订单数,因美团配送原因取消订单数,线上活动总补贴金额,曝光人数,进店人数,成单用户数,在线商品数,在售商品数
40040,40040,40040,10084532,蝶梦鲜花店,0,,河北省,张家口,D1,宣化区,鲜花绿植,鲜花店,1,20200929.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,47,1,0,5,5
40268,40268,40268,8376667,弄花花艺,0,,河北省,张家口,D1,,鲜花绿植,鲜花店,1,20191224.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,71,2,0,54,42
41062,41062,41062,9431456,花艺空间鲜花店（教师节鲜花、婚庆用花、开业花篮）,100011097,玫瑰之约鲜花,河北省,张家口,D1,桥西区,鲜花绿植,鲜花店,1,20200702.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,277,13,0,434,415
41614,41614,41614,9736290,匠心花艺婚庆（百合·康乃馨·向日葵）,100034936,玫瑰说,河北省,张家口,D1,银座,鲜花绿植,鲜花店,1,20200817.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,295,2,0,299,293
42987,42987,42987,8369636,花伴鲜花店（教师节鲜花、婚庆用花、开业花篮）,100011097,玫瑰之约鲜花,河北省,张家口,D1,银座,鲜花绿植,鲜花店,1,20200226.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,361,9,0,118,103
43644,43644,43644,9804027,绿之缘鲜花坊,0,,河北省,张家口,D1,,鲜花绿植,鲜花店,1,20200822.0,2,3,3,2,1,99.0,99.0,99.0,99.0,0,0,0,0,0,0,0,0,0,0,3.0,101,11,1,94,93
43694,43694,43694,3169810,腾飞花卉中心,0,,河北省,张家口,D1,,鲜花绿植,鲜花店,1,20170824.0,2,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,38,2,0,88,88
43803,43803,43803,7535576,花匠先生（婚庆典礼情人竹鲜花店）,100030827,花匠先生,河北省,张家口,D1,桥东区,鲜花绿植,鲜花店,1,20190806.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,93,5,0,563,524
44022,44022,44022,8850906,花·时间鲜花店(生日花，表白花，鲜花),100004099,邂逅花坊鲜花,河北省,张家口,D1,,鲜花绿植,鲜花店,1,20200410.0,1,1,1,1,1,159.0,159.0,159.0,159.0,0,0,0,0,0,0,0,0,0,0,53.0,149,5,1,609,474
44727,44727,44727,5961371,花匠先生（卡朵朵鲜花店）,100030827,花匠先生,河北省,张家口,D1,宣化区,鲜花绿植,鲜花店,1,20181022.0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0.0,284,6,0,560,519
