,poi_id,门店名,品牌ID,品牌名,省份,城市,城市等级,蜂窝,首次上线时间,一级品类,二级品类,在线商品数,提单数,推单数,订单数,原价交易额,实付交易额,非异订单数,商家配送延迟订单数,商家拒单订单数,商家不接单订单数,商家取消不告知订单数,商家违规投诉订单数,美团配送延迟订单数,因美团配送原因取消订单数,曝光人数,进店人数,成单用户数
0,7522119,红威鲜花店（鲜花，生日花表白）,100003909,一家花店,河北省,张家口,D1,,20190801.0,鲜花绿植,鲜花店,520,12,10,10,2546.0,1245.0,0,0,0,0,0,0,0,0,1981,135,10
0,8847516,鲜花坊（教师节鲜花、婚庆用花、开业花篮）,100011097,玫瑰之约鲜花,河北省,张家口,D1,,20200527.0,鲜花绿植,鲜花店,435,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,2076,35,0
0,6498010,此间花开,0,,河北省,张家口,D1,桥西区,20190220.0,鲜花绿植,鲜花店,554,218,203,181,72576.0,20602.0,19,12,5,0,0,0,0,0,17996,1837,181
0,3869239,百合花屋,0,,河北省,张家口,D1,,20171123.0,鲜花绿植,鲜花店,29,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,503,40,0
0,3776909,奇臻花卉城,0,,河北省,张家口,D1,,20171209.0,鲜花绿植,鲜花店,38,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,543,24,0
0,9851909,花森林（丰桂元鲜花店）,100035486,花森林,河北省,张家口,D1,桥东区,20200901.0,鲜花绿植,综合鲜花绿植店,356,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,4576,47,0
0,2253189,世佳花艺,0,,河北省,张家口,D1,,20170401.0,鲜花绿植,鲜花店,5,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,4,0,0
0,8191064,轩辕花卉,11035,鼎卉鲜花,河北省,张家口,D1,,20191211.0,鲜花绿植,鲜花店,773,4,4,4,1364.0,542.0,0,0,0,0,0,0,0,0,2166,71,4
0,9776058,百祥刺青鲜花店,0,,河北省,张家口,D1,高新区,20200819.0,鲜花绿植,鲜花店,185,1,1,1,168.0,168.0,0,0,0,0,0,0,0,0,5961,50,1
0,3809441,八彩鲜花（花语鲜花）,100004096,八彩时尚花艺,河北省,张家口,D1,银座,20171124.0,鲜花绿植,鲜花店,506,11,11,10,3839.0,1083.99,3,2,1,0,0,0,0,0,4834,144,10
