,time,商家ID,r,f,m,r_score,f_score,m_score,rfm_group
1188,4,4439411,24,2,176,3,2,2,322
1189,4,4464626,17,14,532,2,3,2,232
1190,4,4473272,23,1,0,3,2,1,321
1191,4,4742557,24,1,0,3,2,1,321
1192,4,4885878,24,0,0,3,1,1,311
1193,4,5054488,12,1,0,2,2,1,221
1194,4,5056286,0,0,0,1,1,1,111
1195,4,5121244,2,0,0,1,1,1,111
1196,4,5196478,24,27,3653,3,3,3,333
1197,4,5332337,24,47,2282,3,3,3,333
1198,4,5345425,24,0,0,3,1,1,311
1199,4,5346237,12,2,370,2,2,2,222
1200,4,5379291,24,9,753,3,3,2,332
1201,4,5550366,24,0,0,3,1,1,311
1202,4,5565851,24,0,0,3,1,1,311
1203,4,5582315,24,7,632,3,2,2,322
1204,4,5630285,12,1,0,2,2,1,221
