,门店ID,体检分,有效订单数,入店人数,平均商家评分,平均配送评分,平均配送评分
253,7934075,69.0,0,12,0.0,0.0,0.0
254,7934077,66.0,0,12,4.8,5.0,5.0
255,7934078,66.0,1,14,3.3,3.7,3.7
256,7994663,58.0,0,1,0.0,0.0,0.0
257,7994665,56.0,0,2,0.0,0.0,0.0
258,7994666,75.0,1,14,4.1,5.0,5.0
259,7994668,78.0,1,23,5.0,5.0,5.0
260,7994671,67.0,0,9,0.0,0.0,0.0
261,7994673,74.0,0,44,4.6,4.4,4.4
262,7994675,76.0,1,8,4.0,5.0,5.0
263,8068587,64.0,0,3,0.0,0.0,0.0
264,8070349,69.0,0,15,4.3,4.6,4.6
265,8071981,69.0,0,13,0.0,0.0,0.0
266,8089012,81.0,1,26,4.1,5.0,5.0
267,8094433,77.0,5,43,0.0,0.0,0.0
268,8094434,63.0,0,7,0.0,0.0,0.0
269,8116641,56.0,0,4,0.0,0.0,0.0
270,8197675,72.0,1,21,4.8,5.0,5.0
271,8207107,65.0,0,15,5.0,5.0,5.0
272,8207108,49.0,0,5,0.0,0.0,0.0
273,8207110,57.0,0,2,0.0,0.0,0.0
274,8207111,55.0,1,9,0.0,0.0,0.0
275,8207112,74.0,0,20,2.9,4.2,4.2
276,8207114,63.0,0,2,0.0,0.0,0.0
277,8207115,50.0,0,8,0.0,0.0,0.0
278,8207118,71.0,1,5,0.0,0.0,0.0
279,8207119,61.0,0,8,0.0,0.0,0.0
280,8207120,78.0,0,27,4.8,4.7,4.7
281,8222414,71.0,0,6,4.8,5.0,5.0
282,8226888,72.0,0,10,4.3,3.5,3.5
283,8250903,83.0,0,47,0.0,0.0,0.0
284,8250905,84.0,3,42,5.0,4.8,4.8
285,8250906,54.0,0,1,0.0,0.0,0.0
286,8250907,47.0,0,1,0.0,0.0,0.0
287,8253592,64.0,0,5,0.0,0.0,0.0
288,8253593,77.0,0,20,0.0,0.0,0.0
289,8258610,63.0,0,6,0.0,0.0,0.0
290,8258611,51.0,0,12,0.0,0.0,0.0
291,8258612,69.0,0,3,0.0,0.0,0.0
292,8278261,76.0,0,10,4.6,5.0,5.0
293,8278262,77.0,0,10,4.5,5.0,5.0
294,8278263,54.0,0,2,0.0,0.0,0.0
295,8278267,69.0,1,25,0.0,0.0,0.0
296,8278268,68.0,0,1,4.5,5.0,5.0
297,8278272,63.0,0,30,4.3,4.3,4.3
298,8278275,75.0,1,25,4.9,5.0,5.0
299,8278322,66.0,0,12,0.0,0.0,0.0
300,8278323,72.0,0,19,0.0,0.0,0.0
301,8278324,48.0,0,1,0.0,0.0,0.0
302,8278326,48.0,0,5,0.0,0.0,0.0
303,8278376,64.0,0,3,0.0,0.0,0.0
304,8278380,73.0,0,23,5.0,5.0,5.0
305,8278384,67.0,0,8,0.0,0.0,0.0
306,8278455,66.0,0,6,0.0,0.0,0.0
307,8278456,55.0,0,1,0.0,0.0,0.0
308,8278457,53.0,0,5,0.0,0.0,0.0
309,8278459,79.0,1,28,5.0,5.0,5.0
310,8278460,77.0,1,26,3.7,3.9,3.9
311,8280405,47.0,0,9,0.0,0.0,0.0
312,8280460,84.0,6,171,4.9,5.0,5.0
313,8284382,82.0,3,80,4.8,4.9,4.9
314,8284386,84.0,3,44,4.5,4.7,4.7
315,8357579,83.0,0,23,5.0,5.0,5.0
316,8357582,86.0,0,24,5.0,5.0,5.0
317,8357588,68.0,0,11,4.1,5.0,5.0
318,8357592,77.0,0,8,4.9,5.0,5.0
319,8357593,81.0,0,20,5.0,5.0,5.0
320,8358888,54.0,0,2,0.0,0.0,0.0
321,8364413,63.0,0,5,0.0,0.0,0.0
322,8364414,74.0,0,5,0.0,0.0,0.0
323,8364416,64.0,0,7,0.0,0.0,0.0
324,8364417,76.0,0,10,4.3,5.0,5.0
325,8435950,53.0,0,7,0.0,0.0,0.0
326,8435952,57.0,0,1,0.0,0.0,0.0
327,8435953,75.0,1,26,3.9,3.9,3.9
328,8435955,72.0,0,10,0.0,0.0,0.0
329,8435957,86.0,1,29,5.0,5.0,5.0
330,8435958,87.0,1,38,4.1,4.6,4.6
331,8435959,73.0,1,22,3.1,4.0,4.0
332,8435960,60.0,1,22,0.0,0.0,0.0
333,8435961,50.0,0,0,0.0,0.0,0.0
334,8435962,63.0,0,18,0.0,0.0,0.0
335,8437924,86.0,1,34,4.7,4.7,4.7
336,8437925,50.0,0,5,0.0,0.0,0.0
337,8437926,59.0,0,16,5.0,5.0,5.0
338,8437927,62.0,0,8,0.0,0.0,0.0
339,8442887,77.0,0,16,4.9,5.0,5.0
340,8462158,50.0,0,13,0.0,0.0,0.0
341,8471191,74.0,0,28,4.7,5.0,5.0
342,8471192,54.0,0,3,0.0,0.0,0.0
343,8471193,74.0,1,33,4.1,5.0,5.0
344,8471194,60.0,0,1,0.0,0.0,0.0
345,8471195,55.0,0,0,0.0,0.0,0.0
346,8471409,75.0,0,3,0.0,0.0,0.0
347,8471425,52.0,0,2,0.0,0.0,0.0
348,8471427,73.0,0,31,4.8,5.0,5.0
349,8472854,62.0,0,5,0.0,0.0,0.0
350,8472855,74.0,0,15,0.0,0.0,0.0
351,8472856,63.0,0,9,0.0,0.0,0.0
352,8488486,76.0,0,6,4.6,5.0,5.0
353,8488487,54.0,1,10,0.0,0.0,0.0
354,8488489,85.0,0,15,3.9,3.6,3.6
355,8488490,77.0,0,34,5.0,5.0,5.0
356,8492059,73.0,0,9,4.7,5.0,5.0
357,8492060,57.0,0,3,0.0,0.0,0.0
358,8588168,82.0,1,24,4.0,4.1,4.1
359,8588169,56.0,2,17,0.0,0.0,0.0
360,8588170,51.0,0,12,0.0,0.0,0.0
361,8588171,63.0,0,3,0.0,0.0,0.0
362,8595633,58.0,0,7,0.0,0.0,0.0
363,8607428,69.0,0,10,0.0,0.0,0.0
364,8709965,75.0,0,20,5.0,5.0,5.0
365,8709967,72.0,0,3,4.6,4.6,4.6
366,8709968,50.0,0,2,0.0,0.0,0.0
367,8709973,77.0,0,19,0.0,0.0,0.0
368,8709974,80.0,1,19,5.0,5.0,5.0
369,8709976,69.0,1,19,0.0,0.0,0.0
370,8724585,83.0,0,6,4.3,4.4,4.4
371,8743603,66.0,0,2,0.0,0.0,0.0
372,8755673,81.0,0,23,5.0,5.0,5.0
373,8755674,70.0,0,13,0.0,0.0,0.0
374,8755676,86.0,0,21,5.0,5.0,5.0
375,8755677,86.0,2,33,4.6,5.0,5.0
376,8755678,60.0,0,5,0.0,0.0,0.0
377,8755679,84.0,1,19,3.5,4.6,4.6
378,8755680,81.0,0,19,5.0,5.0,5.0
379,8755682,75.0,2,33,4.3,4.6,4.6
380,8764356,70.0,1,28,4.8,5.0,5.0
381,8776857,68.0,0,14,0.0,0.0,0.0
382,8790380,77.0,0,38,4.6,4.8,4.8
383,8801124,63.0,0,13,0.0,0.0,0.0
384,8801126,69.0,1,25,4.4,4.4,4.4
385,8801127,69.0,0,4,0.0,0.0,0.0
386,8801128,84.0,3,55,4.7,5.0,5.0
387,8801129,63.0,0,4,0.0,0.0,0.0
388,8801607,71.0,0,12,5.0,5.0,5.0
389,8803711,63.0,0,8,3.4,4.2,4.2
390,8803761,72.0,0,15,0.0,0.0,0.0
391,8803762,81.0,0,6,0.0,0.0,0.0
392,8803763,47.0,0,3,0.0,0.0,0.0
393,8803816,57.0,1,5,0.0,0.0,0.0
394,8804150,54.0,0,4,0.0,0.0,0.0
395,8806172,43.0,0,0,5.0,5.0,5.0
396,8818185,78.0,6,53,5.0,5.0,5.0
397,8822565,85.0,1,39,5.0,5.0,5.0
398,8849777,80.0,0,13,5.0,5.0,5.0
399,8849779,73.0,0,5,0.0,0.0,0.0
400,8849782,65.0,0,8,0.0,0.0,0.0
401,8849785,57.0,0,5,0.0,0.0,0.0
402,8849786,49.0,0,3,0.0,0.0,0.0
403,8849787,55.0,0,0,0.0,0.0,0.0
404,8849788,68.0,1,25,0.0,0.0,0.0
405,8849789,89.0,2,41,4.8,4.9,4.9
406,8849837,87.0,1,41,4.7,4.8,4.8
407,8863767,76.0,0,16,0.0,0.0,0.0
408,8865559,83.0,3,29,4.8,4.5,4.5
409,8865561,64.0,0,11,0.0,0.0,0.0
410,8866729,89.0,0,36,4.5,4.5,4.5
411,8881539,48.0,0,5,0.0,0.0,0.0
412,8902541,68.0,0,5,0.0,0.0,0.0
413,8902544,74.0,0,19,5.0,5.0,5.0
414,8902545,70.0,0,10,0.0,0.0,0.0
415,8902546,47.0,0,4,0.0,0.0,0.0
416,8902547,61.0,1,9,0.0,0.0,0.0
417,8902548,56.0,0,6,0.0,0.0,0.0
418,8902595,77.0,0,28,4.9,5.0,5.0
419,8903255,57.0,0,6,0.0,0.0,0.0
420,8958023,65.0,0,10,0.0,0.0,0.0
421,8958024,78.0,2,32,0.0,0.0,0.0
422,8958026,47.0,0,2,0.0,0.0,0.0
423,8958027,77.0,0,7,4.3,4.3,4.3
424,8958028,67.0,0,7,0.0,0.0,0.0
425,8958029,55.0,0,17,0.0,0.0,0.0
426,8958030,75.0,2,22,3.1,3.4,3.4
427,8958031,74.0,0,10,0.0,0.0,0.0
428,8958033,73.0,0,7,0.0,0.0,0.0
429,8958034,50.0,0,3,0.0,0.0,0.0
430,8958944,47.0,0,1,0.0,0.0,0.0
431,8959308,68.0,0,17,3.6,3.8,3.8
432,8959450,66.0,0,8,0.0,0.0,0.0
433,8959451,68.0,0,10,0.0,0.0,0.0
434,8959452,61.0,0,6,0.0,0.0,0.0
435,8963601,60.0,0,8,0.0,0.0,0.0
436,8970947,65.0,0,10,0.0,0.0,0.0
437,8982838,63.0,0,10,0.0,0.0,0.0
438,8983871,66.0,0,6,0.0,0.0,0.0
439,8983872,65.0,0,20,0.0,0.0,0.0
440,8983873,57.0,0,2,0.0,0.0,0.0
441,8983874,72.0,0,12,4.7,5.0,5.0
442,8983876,70.0,1,4,0.0,0.0,0.0
443,8983877,58.0,0,12,0.0,0.0,0.0
444,8983878,64.0,0,13,0.0,0.0,0.0
445,8985806,78.0,0,3,4.6,5.0,5.0
446,8986583,82.0,1,38,5.0,4.4,4.4
447,8989546,71.0,0,10,4.1,4.5,4.5
448,8989547,77.0,1,13,0.0,0.0,0.0
449,8989549,84.0,0,24,4.6,4.7,4.7
450,8989667,68.0,0,8,0.0,0.0,0.0
451,9022886,67.0,1,15,5.0,5.0,5.0
452,9022887,67.0,0,6,0.0,0.0,0.0
453,9022888,64.0,0,6,3.2,4.3,4.3
454,9022889,83.0,0,12,4.6,4.6,4.6
455,9022890,57.0,0,1,0.0,0.0,0.0
456,9022891,75.0,0,19,0.0,0.0,0.0
457,9023336,73.0,0,7,4.4,4.6,4.6
458,9030472,65.0,0,5,0.0,0.0,0.0
459,9047238,69.0,0,24,0.0,0.0,0.0
460,9047506,45.0,0,4,0.0,0.0,0.0
461,9049510,59.0,0,8,0.0,0.0,0.0
462,9056788,78.0,0,50,4.8,5.0,5.0
463,9068700,54.0,0,0,0.0,0.0,0.0
464,9074918,85.0,0,15,5.0,5.0,5.0
465,9074934,61.0,0,13,0.0,0.0,0.0
466,9074936,79.0,2,16,5.0,5.0,5.0
467,9075020,80.0,0,11,4.7,5.0,5.0
468,9075074,78.0,0,6,0.0,0.0,0.0
469,9075075,54.0,0,9,0.0,0.0,0.0
470,9075147,57.0,0,8,0.0,0.0,0.0
471,9096059,65.0,0,7,0.0,0.0,0.0
472,9096062,63.0,0,8,0.0,0.0,0.0
473,9096064,75.0,0,16,4.8,5.0,5.0
474,9096605,82.0,1,14,4.6,4.4,4.4
475,9098574,44.0,0,3,0.0,0.0,0.0
476,9100492,54.0,0,11,0.0,0.0,0.0
477,9100495,73.0,0,18,0.0,0.0,0.0
478,9106749,68.0,0,17,0.0,0.0,0.0
479,9107960,60.0,2,5,0.0,0.0,0.0
480,9108413,72.0,1,12,5.0,5.0,5.0
481,9111022,74.0,0,10,4.9,4.7,4.7
482,9111024,83.0,1,20,4.6,4.7,4.7
483,9111025,58.0,0,9,0.0,0.0,0.0
484,9111026,53.0,0,4,0.0,0.0,0.0
485,9131459,86.0,2,53,4.8,4.8,4.8
486,9131461,70.0,0,3,0.0,0.0,0.0
487,9131462,52.0,0,3,0.0,0.0,0.0
488,9131463,76.0,1,36,5.0,5.0,5.0
489,9132248,75.0,0,6,5.0,5.0,5.0
490,9132249,64.0,0,7,0.0,0.0,0.0
491,9138121,62.0,0,5,0.0,0.0,0.0
492,9138122,77.0,0,15,0.0,0.0,0.0
493,9139411,57.0,0,5,0.0,0.0,0.0
494,9139412,72.0,0,3,0.0,0.0,0.0
495,9139414,74.0,0,11,0.0,0.0,0.0
496,9139809,64.0,0,4,0.0,0.0,0.0
497,9159613,83.0,0,24,5.0,5.0,5.0
498,9217388,57.0,2,12,5.0,5.0,5.0
499,9217390,75.0,0,19,5.0,5.0,5.0
