,日期,店铺所在城市,下单时间,接单时长,是否预订单,商品分类,商品名称,商品原价销售额,商品实付销售额,百分比
460,1,杭州	,2020-01-02 22:33:53	,0秒,是,折扣专区	,『痴心』11枝红玫瑰礼盒鲜花送女友闺蜜朋友送女友圣诞爆款,320.0,139.0,0.434375
461,1,杭州	,2020-01-03 09:10:39	,1秒,否,折扣专区	,『永结同心』11枝红玫瑰+2只小熊礼盒送女友闺蜜圣诞爆款花店,320.0,148.0,0.4625
463,1,杭州	,2020-01-04 17:12:55	,1秒,否,折扣专区	,『店长推荐』3枝白玫瑰+6枝粉玫瑰花搭配满天星推荐生日鲜花店,245.0,128.0,0.5224489795918368
471,1,杭州	,2020-01-07 21:06:05	,1秒,否,折扣专区	,『挚爱』11枝红玫瑰花+2只小熊圣诞礼盒送女友闺蜜生日鲜花店,275.0,135.0,0.4909090909090909
473,1,杭州	,2020-01-08 15:28:52	,2秒,否,折扣专区	,『店长推荐』3枝白玫瑰+6枝粉玫瑰花搭配满天星推荐生日鲜花店,245.0,135.0,0.5510204081632653
477,1,杭州	,2020-01-11 11:46:09	,1秒,否,折扣专区	,『店长推荐』3枝白玫瑰+6枝粉玫瑰花搭配满天星推荐生日鲜花店,245.0,135.0,0.5510204081632653
508,1,杭州	,2020-01-23 13:27:53	,1秒,否,折扣专区	,『店长推荐』3枝白玫瑰+6枝粉玫瑰花搭配满天星推荐生日鲜花店,245.0,137.17,0.5598775510204081
519,1,柳州	,2020-01-17 08:33:24	,0秒,否,折扣专区	,『情窦初开』19枝粉玫瑰鲜花礼盒送男友 送闺蜜送亲人鲜花店,298.0,152.0,0.5100671140939598
520,1,柳州	,2020-01-17 11:58:37	,0秒,否,折扣专区	,『情窦初开』19枝粉玫瑰鲜花礼盒送男友 送闺蜜送亲人鲜花店,298.0,152.0,0.5100671140939598
557,1,上海	,2020-01-26 12:31:59	,2秒,否,折扣专区	,『挚爱』11枝红玫瑰花+2只小熊圣诞礼盒送女友闺蜜生日鲜花店,275.0,128.0,0.46545454545454545
564,1,营口	,2020-01-04 09:57:06	,0秒,否,折扣专区	,『织女款』11枝粉玫瑰圣诞礼盒鲜花送女友闺蜜生日情人鲜花店,245.0,144.0,0.5877551020408164
603,1,贵阳	,2020-01-01 19:22:03	,8秒,否,折扣专区	,『目不转睛』9枝粉玫瑰花束送女友生日礼物鲜花店推荐送闺蜜,245.0,145.0,0.5918367346938775
608,1,贵阳	,2020-01-03 11:25:14	,11秒,否,折扣专区	,『店长推荐』3枝白玫瑰+6枝粉玫瑰花搭配满天星推荐生日鲜花店,245.0,145.0,0.5918367346938775
609,1,贵阳	,2020-01-03 16:05:55	,231秒,否,折扣专区	,『店长推荐』3枝白玫瑰+6枝粉玫瑰花搭配满天星推荐生日鲜花店,245.0,145.0,0.5918367346938775
610,1,贵阳	,2020-01-04 16:31:26	,23秒,否,折扣专区	,『目不转睛』9枝粉玫瑰花束送女友生日礼物鲜花店推荐送闺蜜,245.0,143.0,0.5836734693877551
