,日期,店铺所在城市,下单时间,接单时长,是否预订单,商品分类,商品名称,商品原价销售额,商品实付销售额,百分比
907,1,银川	,2020-01-19 08:47:21	,39秒,否,折扣专区	,『爱就一个字』19枝红玫瑰花束 送亲人送闺蜜送情人推荐鲜花店,298.0,158.0,0.5302013422818792
954,1,长沙	,2020-01-17 10:38:08	,185秒,否,折扣专区	,『眉目传情』33枝红玫瑰鲜花花束 生日礼物送女友送男友鲜花店,358.0,222.0,0.6201117318435754
955,1,长沙	,2020-01-18 08:20:03	,169秒,否,折扣专区	,『彩虹之恋』满天星鲜花 花束 送女友送闺蜜生日礼物推荐鲜花店,470.0,175.0,0.3723404255319149
957,1,长沙	,2020-01-27 18:47:17	,181秒,否,折扣专区	,『彩虹之恋』满天星鲜花 花束 送女友送闺蜜生日礼物推荐鲜花店,470.0,175.0,0.3723404255319149
972,1,资阳	,2020-01-01 17:30:21	,0秒,是,折扣专区	,『邂逅之缘』33枝玫瑰黑纱包装表白花束生日礼物情人节鲜花店,358.0,234.9,0.656145251396648
988,1,资阳	,2020-01-22 23:08:50	,0秒,是,折扣专区	,『邂逅之缘』33枝玫瑰黑纱包装表白花束生日礼物情人节鲜花店,358.0,225.0,0.6284916201117319
1029,1,吕梁	,2020-01-02 10:49:02	,210秒,否,折扣专区	,『鸾凤和鸣』19枝红玫瑰表白款抱抱桶生日情人节送闺蜜鲜花店,328.0,175.0,0.5335365853658537
1034,1,吕梁	,2020-02-01 03:33:00	,235秒,否,折扣专区	,『感天动地』19枝红玫瑰鲜花礼盒送亲人送闺蜜送情人鲜花店,298.0,158.0,0.5302013422818792
1057,1,合肥	,2020-01-01 12:32:49	,0秒,否,折扣专区	,『暮翠朝红』19枝红玫瑰花礼盒鲜花搭配洋桔梗送女友生日鲜花店,298.0,165.0,0.5536912751677853
1115,1,南平	,2020-01-01 13:28:44	,58秒,否,折扣专区	,『如隔三秋』33枝红玫瑰搭配满天星礼盒鲜花店 送女友生日礼物,358.0,255.0,0.7122905027932961
1124,1,杭州	,2020-01-01 11:09:48	,1秒,否,折扣专区	,『彩虹之恋』满天星鲜花 花束 送女友送闺蜜生日礼物推荐鲜花店,470.0,215.0,0.4574468085106383
1165,1,龙岩	,2020-01-01 23:43:54	,1秒,否,折扣专区	,『香橙』19枝香槟玫瑰礼盒鲜花送女友朋友生日礼物送闺蜜送亲人,370.0,185.0,0.5
1181,1,龙岩	,2020-01-09 19:37:33	,1秒,否,折扣专区	,『从一而终』33枝红玫瑰花鲜花束 送亲人 送闺蜜送情人鲜花店,398.0,222.0,0.5577889447236181
1216,1,龙岩	,2020-01-17 16:04:42	,0秒,否,折扣专区	,『一生的信念』19枝蓝色妖姬搭配黄莹送女友闺蜜生日礼物鲜花店,559.0,225.0,0.40250447227191416
1230,1,合肥	,2020-01-02 13:53:53	,0秒,否,折扣专区	,『邂逅之缘』33枝玫瑰黑纱包装表白花束生日礼物情人节鲜花店,358.0,245.0,0.6843575418994413
1239,1,湛江	,2020-01-09 08:56:48	,0秒,是,折扣专区	,『眉目传情』33枝红玫瑰鲜花花束 生日礼物送女友送男友鲜花店,358.0,222.0,0.6201117318435754
1256,1,绍兴	,2020-01-08 08:51:08	,29秒,否,折扣专区	,『爱的花火』33枝红玫瑰花搭配尤加利抱抱桶 送女友鲜花店生日,388.0,216.9,0.559020618556701
1264,1,绍兴	,2020-01-13 11:05:32	,46秒,否,折扣专区	,『一生的信念』19枝蓝色妖姬搭配黄莹送女友闺蜜生日礼物鲜花店,348.0,195.0,0.5603448275862069
1312,1,金华	,2020-01-21 14:16:17	,1秒,否,折扣专区	,『彩虹之恋』满天星鲜花 花束 送女友送闺蜜生日礼物推荐鲜花店,470.0,175.0,0.3723404255319149
1417,1,宁德	,2020-01-21 03:57:28	,85秒,否,折扣专区	,『彩虹之恋』满天星鲜花 花束 送女友送闺蜜生日礼物推荐鲜花店,470.0,175.0,0.3723404255319149
1426,1,遵义	,2020-01-02 18:44:46	,19秒,否,折扣专区	,『卡拉曼达』19枝香槟玫瑰花礼盒送女友生日礼物鲜花店推荐闺蜜,298.0,165.0,0.5536912751677853
1430,1,遵义	,2020-01-05 13:27:03	,58秒,否,折扣专区	,『卡拉曼达』19枝香槟玫瑰花礼盒送女友生日礼物鲜花店推荐闺蜜,298.0,165.0,0.5536912751677853
1447,1,遵义	,2020-01-21 13:15:05	,38秒,否,折扣专区	,『邂逅之缘』33枝玫瑰黑纱包装表白花束生日礼物情人节鲜花店,358.0,225.0,0.6284916201117319
1466,1,遵义	,2020-01-02 15:57:08	,40秒,否,折扣专区	,『感天动地』19枝红玫瑰鲜花礼盒送亲人送闺蜜送情人鲜花店,298.0,165.0,0.5536912751677853
1481,1,东莞	,2020-01-08 17:54:45	,1秒,否,折扣专区	,『鸾凤和鸣』19枝红玫瑰表白款抱抱桶生日情人节送闺蜜鲜花店,328.0,162.0,0.49390243902439024
1517,1,镇江	,2020-01-29 16:18:55	,102秒,否,折扣专区	,『彩虹之恋』满天星鲜花 花束 送女友送闺蜜生日礼物推荐鲜花店,470.0,175.0,0.3723404255319149
1537,1,拉萨	,2020-01-01 12:54:20	,1秒,否,折扣专区	,『目不转睛』9枝粉玫瑰花束送女友生日礼物鲜花店推荐送闺蜜,470.0,185.0,0.39361702127659576
